race,gender,age,job_title,state,city,zip_code,Salary
Black,Male,27,Marketing Manager,New York,Jamaica,11499,"$228,275.04 "
White,Male,51,Mechanical Engineer,New York,New York City,10280,"$90,640.20 "
White,Male,37,Legal Assistant,New York,New York City,10090,"$42,594.04 "
Hispanic,Male,69,Data Analyst,New York,Albany,12210,"$269,254.12 "
Black,Female,31,Clinical Specialist,New York,New York City,10099,"$63,345.94 "
Black,Male,44,Quality Control Specialist,New York,Flushing,11355,"$44,184.06 "
White,Female,30,Director of Sales,New York,Syracuse,13210,"$117,586.55 "
White,Female,38,Registered Nurse,New York,New York City,10099,"$193,684.57 "
White,Female,60,Paralegal,New York,Brooklyn,11231,"$208,471.39 "
White,Female,40,GIS Technical Architect,New York,New York City,10079,"$129,784.30 "
Black,Female,67,Junior Executive,New York,Brooklyn,11215,"$105,721.94 "
American Indian & Alaska Native,Male,49,Legal Assistant,New York,Flushing,11355,"$142,512.76 "
White,Male,31,Actuary,New York,New York City,10014,"$73,816.36 "
White,Female,65,Business Systems Development Analyst,New York,Buffalo,14225,"$222,461.26 "
White,Male,26,Nurse,New York,Rochester,14646,"$172,667.42 "
Asian,Female,35,Administrative Officer,New York,Jamaica,11480,"$93,885.08 "
White,Female,21,Pharmacist,New York,Brooklyn,11205,"$40,186.76 "
Black,Female,30,Dental Hygienist,New York,Mount Vernon,10557,"$120,804.55 "
White,Female,52,Senior Editor,New York,New York City,10184,"$281,944.51 "
White,Female,31,Nurse,New York,New York City,10110,"$65,393.21 "
White,Male,34,Executive Assistant,New York,New York City,10270,"$146,067.29 "
White,Male,27,Web Designer,New York,Syracuse,13210,"$177,648.96 "
White,Male,38,GIS Technical Architect,New York,New York City,10110,"$241,000.40 "
White,Male,58,Graphic Designer,New York,Bronx,10454,"$217,510.38 "
Hispanic,Female,56,Food Chemist,New York,New York City,10160,"$260,787.44 "
White,Female,69,Senior Developer,New York,Bronx,10454,"$298,580.31 "
Black,Male,47,Human Resources,New York,Rochester,14639,"$115,169.43 "
White,Female,25,Geologist,New York,New York City,10060,"$260,398.93 "
Other,Male,19,Nurse Practicioner,New York,Rochester,14614,"$171,710.10 "
Black,Male,62,Data Analyst,New York,Port Washington,11054,"$47,511.87 "
White,Female,45,Senior Sales Associate,New York,New York City,10184,"$126,549.70 "
Hispanic,Male,44,Data Analyst,New York,Syracuse,13217,"$83,535.75 "
White,Female,21,Speech Pathologist,New York,New York City,10004,"$200,615.92 "
Hispanic,Male,39,Geologist,New York,Buffalo,14205,"$92,045.79 "
White,Male,40,Mechanical Engineer,New York,Rochester,14639,"$222,866.18 "
White,Male,20,Nurse Practicioner,New York,Buffalo,14220,"$209,156.81 "
